ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Pais,Cidade,Estado,ID_Produto,Categoria,SubCategoria,Valor_Venda
CA-2016-117415,27/12/2016,SN-20710,Home Office,Brasil,São Vicente do Sul,Rio Grande do Sul,FUR-BO-10002545,Decoração,Bookcases,532.3992
CA-2016-117415,27/12/2016,SN-20710,Home Office,Brasil,São Miguel do Tocantins,Tocantins,FUR-CH-10004218,Decoração,Chairs,212.058
CA-2016-117415,27/12/2016,SN-20710,Home Office,Brasil,Colinas,Rio Grande do Sul,TEC-PH-10000486,Aparelhos,Phones,371.168
CA-2018-120999,10/09/2018,LC-16930,Corporate,Brasil,Manoel Viana,Rio Grande do Sul,TEC-PH-10004093,Aparelhos,Phones,147.168
CA-2017-101343,17/07/2017,RA-19885,Corporate,Brasil,Moiporá,Goiás,OFF-ST-10003479,Papelaria,Storage,77.88
CA-2018-139619,19/09/2018,ES-14080,Corporate,Brasil,Uniflor,Paraná,OFF-ST-10003282,Papelaria,Storage,95.616
CA-2017-118255,11/03/2017,ON-18715,Corporate,Brasil,Ibicuitinga,Ceará,TEC-AC-10000171,Aparelhos,Accessories,45.98
CA-2017-118255,11/03/2017,ON-18715,Corporate,Brasil,Tartarugalzinho,Amapá,OFF-BI-10003291,Papelaria,Binders,17.46
CA-2015-146703,20/10/2015,PO-18865,Consumidor,Brasil,Vila Valério,Espírito Santo,OFF-ST-10001713,Papelaria,Storage,211.96
CA-2017-169194,20/06/2017,LH-16900,Consumidor,Brasil,Bom Repouso,Minas Gerais,TEC-AC-10002167,Aparelhos,Accessories,45.0
CA-2017-169194,20/06/2017,LH-16900,Consumidor,Brasil,Pedrinhas Paulista,São Paulo,TEC-PH-10003988,Aparelhos,Phones,21.8
CA-2016-115742,18/04/2016,DP-13000,Consumidor,Brasil,Chalé,Minas Gerais,OFF-BI-10004410,Papelaria,Binders,38.22
CA-2016-115742,18/04/2016,DP-13000,Consumidor,Brasil,Aracaju,Sergipe,OFF-LA-10002762,Papelaria,Labels,75.18
CA-2016-115742,18/04/2016,DP-13000,Consumidor,Brasil,Santarém,Pará,FUR-FU-10001706,Decoração,Furnishings,6.16
CA-2016-115742,18/04/2016,DP-13000,Consumidor,Brasil,São João del Rei,Minas Gerais,FUR-CH-10003061,Decoração,Chairs,89.99
CA-2017-105816,11/12/2017,JM-15265,Corporate,Brasil,Candelária,Rio Grande do Sul,OFF-FA-10000304,Papelaria,Fasteners,15.26
CA-2017-105816,11/12/2017,JM-15265,Corporate,Brasil,Embaúba,São Paulo,TEC-PH-10002447,Aparelhos,Phones,1029.95
CA-2017-111682,17/06/2017,TB-21055,Consumidor,Brasil,São Manoel do Paraná,Paraná,OFF-ST-10000604,Papelaria,Storage,208.56
CA-2017-111682,17/06/2017,TB-21055,Consumidor,Brasil,Pajeú do Piauí,Piauí,OFF-PA-10001569,Papelaria,Paper,32.4
CA-2017-111682,17/06/2017,TB-21055,Consumidor,Brasil,Açu,Rio Grande do Norte,FUR-CH-10003968,Decoração,Chairs,319.41
CA-2017-111682,17/06/2017,TB-21055,Consumidor,Brasil,Agudos,São Paulo,OFF-PA-10000587,Papelaria,Paper,14.56
CA-2017-111682,17/06/2017,TB-21055,Consumidor,Brasil,Ribeirão dos Índios,São Paulo,TEC-AC-10002167,Aparelhos,Accessories,30.0
CA-2017-111682,17/06/2017,TB-21055,Consumidor,Brasil,Maripá de Minas,Minas Gerais,OFF-BI-10001460,Papelaria,Binders,48.48
CA-2017-111682,17/06/2017,TB-21055,Consumidor,Brasil,Nordestina,Bahia,OFF-AR-10001868,Papelaria,Art,1.68
CA-2016-135545,24/11/2016,KM-16720,Consumidor,Brasil,Itapiúna,Ceará,TEC-AC-10004633,Aparelhos,Accessories,13.98
CA-2016-135545,24/11/2016,KM-16720,Consumidor,Brasil,Marechal Thaumaturgo,Acre,OFF-BI-10001078,Papelaria,Binders,25.824
CA-2016-135545,24/11/2016,KM-16720,Consumidor,Brasil,Governador Newton Bello,Maranhão,OFF-PA-10003892,Papelaria,Paper,146.73
CA-2016-135545,24/11/2016,KM-16720,Consumidor,Brasil,Fernandes Tourinho,Minas Gerais,FUR-FU-10000397,Decoração,Furnishings,79.76
US-2016-164175,30/04/2016,PS-18970,Home Office,Brasil,Anahy,Paraná,FUR-CH-10001146,Decoração,Chairs,213.115
CA-2015-106376,05/12/2015,BS-11590,Corporate,Brasil,Araguacema,Tocantins,OFF-AR-10002671,Papelaria,Art,1113.024
CA-2015-106376,05/12/2015,BS-11590,Corporate,Brasil,Monsenhor Paulo,Minas Gerais,TEC-PH-10002726,Aparelhos,Phones,167.968
CA-2017-119823,04/06/2017,KD-16270,Consumidor,Brasil,Itajá,Goiás,OFF-PA-10000482,Papelaria,Paper,75.88
CA-2017-106075,18/09/2017,HM-14980,Consumidor,Brasil,Santa Luzia,Minas Gerais,OFF-BI-10004654,Papelaria,Binders,4.616
CA-2018-114440,14/09/2018,TB-21520,Consumidor,Brasil,Palmares,Pernambuco,OFF-PA-10004675,Papelaria,Paper,19.05
US-2016-134026,26/04/2016,JE-15745,Consumidor,Brasil,Cariús,Ceará,FUR-CH-10000513,Decoração,Chairs,831.936
US-2016-134026,26/04/2016,JE-15745,Consumidor,Brasil,Amorinópolis,Goiás,FUR-FU-10003708,Decoração,Furnishings,97.04
US-2016-134026,26/04/2016,JE-15745,Consumidor,Brasil,Janaúba,Minas Gerais,OFF-ST-10004123,Papelaria,Storage,72.784
US-2018-118038,09/12/2018,KB-16600,Corporate,Brasil,Malhador,Sergipe,OFF-BI-10004182,Papelaria,Binders,1.248
US-2018-118038,09/12/2018,KB-16600,Corporate,Brasil,Veranópolis,Rio Grande do Sul,FUR-FU-10000260,Decoração,Furnishings,9.708
US-2018-118038,09/12/2018,KB-16600,Corporate,Brasil,Salgado de São Félix,Paraíba,OFF-ST-10000615,Papelaria,Storage,27.24
US-2015-147606,26/11/2015,JE-15745,Consumidor,Brasil,Tesouro,Mato Grosso,FUR-FU-10003194,Decoração,Furnishings,19.3
CA-2017-127208,12/06/2017,SC-20770,Corporate,Brasil,Maracaçumé,Maranhão,OFF-AP-10002118,Papelaria,Appliances,208.16
CA-2017-127208,12/06/2017,SC-20770,Corporate,Brasil,Governador Jorge Teixeira,Rondônia,OFF-BI-10002309,Papelaria,Binders,16.74
CA-2015-139451,12/10/2015,DN-13690,Consumidor,Brasil,Lagoa do Piauí,Piauí,OFF-AR-10002053,Papelaria,Art,14.9
CA-2015-139451,12/10/2015,DN-13690,Consumidor,Brasil,Fagundes,Paraíba,OFF-ST-10002370,Papelaria,Storage,21.39
CA-2016-149734,03/09/2016,JC-16105,Corporate,Brasil,Lavras do Sul,Rio Grande do Sul,OFF-EN-10000927,Papelaria,Envelopes,200.984
US-2018-119662,13/11/2018,CS-12400,Home Office,Brasil,Dores do Rio Preto,Espírito Santo,OFF-ST-10003656,Papelaria,Storage,230.376
CA-2018-140088,28/05/2018,PO-18865,Consumidor,Brasil,Candiota,Rio Grande do Sul,FUR-CH-10000863,Decoração,Chairs,301.96
CA-2018-155558,26/10/2018,PG-18895,Consumidor,Brasil,Santarém Novo,Pará,TEC-AC-10001998,Aparelhos,Accessories,19.99
CA-2018-155558,26/10/2018,PG-18895,Consumidor,Brasil,Nordestina,Bahia,OFF-LA-10000134,Papelaria,Labels,6.16
CA-2017-159695,05/04/2017,GM-14455,Home Office,Brasil,Divino de São Lourenço,Espírito Santo,OFF-ST-10003442,Papelaria,Storage,158.368
CA-2017-109806,17/09/2017,JS-15685,Corporate,Brasil,Santa Izabel do Pará,Pará,OFF-AR-10004930,Papelaria,Art,20.1
CA-2017-109806,17/09/2017,JS-15685,Corporate,Brasil,Buenos Aires,Pernambuco,TEC-PH-10004093,Aparelhos,Phones,73.584
CA-2017-109806,17/09/2017,JS-15685,Corporate,Brasil,Bacurituba,Maranhão,OFF-PA-10000304,Papelaria,Paper,6.48
CA-2016-149587,31/01/2016,KB-16315,Consumidor,Brasil,Santa Maria do Cambucá,Pernambuco,OFF-PA-10003177,Papelaria,Paper,12.96
CA-2016-149587,31/01/2016,KB-16315,Consumidor,Brasil,Pato Branco,Paraná,FUR-FU-10003799,Decoração,Furnishings,53.34
CA-2016-149587,31/01/2016,KB-16315,Consumidor,Brasil,São José do Norte,Rio Grande do Sul,OFF-BI-10002852,Papelaria,Binders,32.96
US-2018-109484,06/11/2018,RB-19705,Home Office,Brasil,Ouro Preto do Oeste,Rondônia,OFF-BI-10004738,Papelaria,Binders,5.682
CA-2018-161018,09/11/2018,PN-18775,Home Office,Brasil,Matozinhos,Minas Gerais,FUR-FU-10000629,Decoração,Furnishings,96.53
CA-2018-157833,17/06/2018,KD-16345,Consumidor,Brasil,Aparecida d'Oeste,São Paulo,OFF-BI-10001721,Papelaria,Binders,51.312
CA-2017-149223,06/09/2017,ER-13855,Corporate,Brasil,Mato Grosso,Paraíba,OFF-AP-10000358,Papelaria,Appliances,77.88
CA-2017-158568,29/08/2017,RB-19465,Home Office,Brasil,Piancó,Paraíba,OFF-PA-10003256,Papelaria,Paper,64.624
CA-2017-158568,29/08/2017,RB-19465,Home Office,Brasil,Igaratá,São Paulo,TEC-AC-10001767,Aparelhos,Accessories,95.976
CA-2017-158568,29/08/2017,RB-19465,Home Office,Brasil,Catanduvas,Paraná,OFF-BI-10002609,Papelaria,Binders,1.788
CA-2017-129903,01/12/2017,GZ-14470,Consumidor,Brasil,Cerro Grande,Rio Grande do Sul,OFF-PA-10004040,Papelaria,Paper,23.92
US-2016-156867,13/11/2016,LC-16870,Consumidor,Brasil,São Tiago,Minas Gerais,TEC-AC-10001552,Aparelhos,Accessories,238.896
US-2016-156867,13/11/2016,LC-16870,Consumidor,Brasil,Piacatu,São Paulo,FUR-FU-10004006,Decoração,Furnishings,102.36
US-2016-156867,13/11/2016,LC-16870,Consumidor,Brasil,Salvador das Missões,Rio Grande do Sul,OFF-BI-10002794,Papelaria,Binders,36.882
CA-2018-119004,23/11/2018,JM-15250,Consumidor,Brasil,Eldorado do Sul,Rio Grande do Sul,TEC-AC-10003499,Aparelhos,Accessories,74.112
CA-2018-119004,23/11/2018,JM-15250,Consumidor,Brasil,União do Sul,Mato Grosso,TEC-PH-10002844,Aparelhos,Phones,27.992
CA-2018-119004,23/11/2018,JM-15250,Consumidor,Brasil,Panelas,Pernambuco,OFF-AR-10000390,Papelaria,Art,3.304
CA-2016-129476,15/10/2016,PA-19060,Home Office,Brasil,Dourados,Mato Grosso do Sul,TEC-AC-10000844,Aparelhos,Accessories,339.96
CA-2018-146780,25/12/2018,CV-12805,Corporate,Brasil,Entre Rios do Oeste,Paraná,FUR-FU-10001934,Decoração,Furnishings,41.96
CA-2017-128867,03/11/2017,CL-12565,Consumidor,Brasil,Silveiras,São Paulo,OFF-AR-10000380,Papelaria,Art,75.96
CA-2017-128867,03/11/2017,CL-12565,Consumidor,Brasil,Bocaina,Piauí,OFF-BI-10003981,Papelaria,Binders,27.24
CA-2015-115259,25/08/2015,RC-19960,Consumidor,Brasil,Três Passos,Rio Grande do Sul,OFF-FA-10000621,Papelaria,Fasteners,40.096
CA-2015-115259,25/08/2015,RC-19960,Consumidor,Brasil,Canoinhas,Santa Catarina,OFF-EN-10002600,Papelaria,Envelopes,4.72
CA-2015-115259,25/08/2015,RC-19960,Consumidor,Brasil,Oratórios,Minas Gerais,OFF-PA-10004965,Papelaria,Paper,23.976
CA-2015-115259,25/08/2015,RC-19960,Consumidor,Brasil,Tanque Novo,Bahia,OFF-EN-10002504,Papelaria,Envelopes,130.464
CA-2016-110457,02/03/2016,DK-13090,Consumidor,Brasil,Novo Tiradentes,Rio Grande do Sul,FUR-TA-10001768,Decoração,Tables,787.53
US-2016-136476,05/04/2016,GG-14650,Corporate,Brasil,Camacho,Minas Gerais,OFF-BI-10003650,Papelaria,Binders,157.794
CA-2017-103730,12/06/2017,SC-20725,Consumidor,Brasil,Rio dos Cedros,Santa Catarina,FUR-FU-10002157,Decoração,Furnishings,47.04
CA-2017-103730,12/06/2017,SC-20725,Consumidor,Brasil,Nazaré do Piauí,Piauí,OFF-BI-10003910,Papelaria,Binders,30.84
CA-2017-103730,12/06/2017,SC-20725,Consumidor,Brasil,Bom Jardim da Serra,Santa Catarina,OFF-ST-10000777,Papelaria,Storage,226.56
CA-2017-103730,12/06/2017,SC-20725,Consumidor,Brasil,Rio Branco do Sul,Paraná,OFF-EN-10002500,Papelaria,Envelopes,115.02
CA-2017-103730,12/06/2017,SC-20725,Consumidor,Brasil,Catiguá,São Paulo,TEC-PH-10003875,Aparelhos,Phones,68.04
US-2015-152030,26/12/2015,AD-10180,Home Office,Brasil,Cassilândia,Mato Grosso do Sul,FUR-CH-10004063,Decoração,Chairs,600.558
US-2015-134614,20/09/2015,PF-19165,Consumidor,Brasil,Imbé,Rio Grande do Sul,FUR-TA-10004534,Decoração,Tables,617.7
US-2018-107272,05/11/2018,TS-21610,Consumidor,Brasil,Monsenhor Hipólito,Piauí,OFF-BI-10003274,Papelaria,Binders,2.388
US-2018-107272,05/11/2018,TS-21610,Consumidor,Brasil,Salto do Lontra,Paraná,OFF-ST-10002974,Papelaria,Storage,243.992
US-2017-125969,06/11/2017,LS-16975,Home Office,Brasil,Massaranduba,Santa Catarina,FUR-CH-10001146,Decoração,Chairs,81.424
US-2017-125969,06/11/2017,LS-16975,Home Office,Brasil,Itapororoca,Paraíba,FUR-FU-10003773,Decoração,Furnishings,238.56
US-2018-164147,02/02/2018,DW-13585,Corporate,Brasil,Santa Maria do Cambucá,Pernambuco,TEC-PH-10002293,Aparelhos,Phones,59.97
US-2018-164147,02/02/2018,DW-13585,Corporate,Brasil,Quinze de Novembro,Rio Grande do Sul,OFF-PA-10002377,Papelaria,Paper,78.304
US-2018-164147,02/02/2018,DW-13585,Corporate,Brasil,Pinheiral,Rio de Janeiro,OFF-FA-10002780,Papelaria,Fasteners,21.456
CA-2017-145583,13/10/2017,LC-16885,Consumidor,Brasil,Ipanguaçu,Rio Grande do Norte,OFF-PA-10001804,Papelaria,Paper,20.04
CA-2017-145583,13/10/2017,LC-16885,Consumidor,Brasil,Vera,Mato Grosso,OFF-PA-10001736,Papelaria,Paper,35.44
CA-2017-145583,13/10/2017,LC-16885,Consumidor,Brasil,Mogi das Cruzes,São Paulo,OFF-AR-10001149,Papelaria,Art,11.52
CA-2017-145583,13/10/2017,LC-16885,Consumidor,Brasil,Araruna,Paraná,OFF-FA-10002988,Papelaria,Fasteners,4.02
CA-2017-145583,13/10/2017,LC-16885,Consumidor,Brasil,Chaves,Pará,OFF-BI-10004781,Papelaria,Binders,76.176
CA-2017-145583,13/10/2017,LC-16885,Consumidor,Brasil,Presidente Getúlio,Santa Catarina,OFF-SU-10001218,Papelaria,Supplies,65.88
CA-2017-145583,13/10/2017,LC-16885,Consumidor,Brasil,Boa Vista do Gurupi,Maranhão,FUR-FU-10001706,Decoração,Furnishings,43.12
CA-2017-110366,05/09/2017,JD-15895,Corporate,Brasil,Porto Alegre do Norte,Mato Grosso,FUR-FU-10004848,Decoração,Furnishings,82.8
CA-2018-106180,18/09/2018,SH-19975,Corporate,Brasil,Barra do Ribeiro,Rio Grande do Sul,OFF-AR-10000940,Papelaria,Art,8.82
CA-2018-106180,18/09/2018,SH-19975,Corporate,Brasil,São Julião,Piauí,OFF-EN-10004030,Papelaria,Envelopes,10.86
CA-2018-106180,18/09/2018,SH-19975,Corporate,Brasil,Cardoso Moreira,Rio de Janeiro,OFF-PA-10004327,Papelaria,Paper,143.7
CA-2018-155376,22/12/2018,SG-20080,Consumidor,Brasil,Maurilândia,Goiás,OFF-AP-10001058,Papelaria,Appliances,839.43
CA-2016-110744,07/09/2016,HA-14920,Consumidor,Brasil,Correia Pinto,Santa Catarina,OFF-ST-10003656,Papelaria,Storage,671.93
CA-2015-110072,22/10/2015,MG-17680,Home Office,Brasil,Ibiraçu,Espírito Santo,FUR-FU-10000521,Decoração,Furnishings,93.888
CA-2017-114489,05/12/2017,JE-16165,Corporate,Brasil,Taiúva,São Paulo,TEC-PH-10000215,Aparelhos,Phones,384.45
CA-2017-114489,05/12/2017,JE-16165,Corporate,Brasil,Pedra do Anta,Minas Gerais,TEC-PH-10001448,Aparelhos,Phones,149.97
CA-2017-114489,05/12/2017,JE-16165,Corporate,Brasil,Cruzeiro da Fortaleza,Minas Gerais,FUR-CH-10000454,Decoração,Chairs,1951.84
CA-2017-114489,05/12/2017,JE-16165,Corporate,Brasil,Paraíso,Santa Catarina,OFF-BI-10002735,Papelaria,Binders,171.55
CA-2017-158834,13/03/2017,TW-21025,Home Office,Brasil,São José de Princesa,Paraíba,OFF-AP-10000326,Papelaria,Appliances,157.92
CA-2017-158834,13/03/2017,TW-21025,Home Office,Brasil,Pitangui,Minas Gerais,TEC-PH-10001254,Aparelhos,Phones,203.184
CA-2016-124919,31/05/2016,SP-20650,Corporate,Brasil,Matias Cardoso,Minas Gerais,OFF-PA-10001950,Papelaria,Paper,58.38
CA-2016-124919,31/05/2016,SP-20650,Corporate,Brasil,Poço de José de Moura,Paraíba,OFF-PA-10002254,Papelaria,Paper,105.52
CA-2016-124919,31/05/2016,SP-20650,Corporate,Brasil,Moeda,Minas Gerais,OFF-ST-10001590,Papelaria,Storage,80.88
CA-2016-118948,28/05/2016,NK-18490,Home Office,Brasil,Taipas do Tocantins,Tocantins,OFF-AR-10001547,Papelaria,Art,6.63
CA-2015-104269,01/03/2015,DB-13060,Consumidor,Brasil,Camutanga,Pernambuco,FUR-CH-10004063,Decoração,Chairs,457.568
CA-2017-114104,20/11/2017,NP-18670,Consumidor,Brasil,Belmonte,Bahia,OFF-LA-10002475,Papelaria,Labels,14.62
CA-2017-114104,20/11/2017,NP-18670,Consumidor,Brasil,Valente,Bahia,TEC-PH-10004536,Aparelhos,Phones,944.93
CA-2017-162733,11/05/2017,TT-21070,Consumidor,Brasil,Theobroma,Rondônia,OFF-PA-10002751,Papelaria,Paper,5.98
CA-2016-119697,28/12/2016,EM-13960,Consumidor,Brasil,Antônio Carlos,Minas Gerais,TEC-AC-10003657,Aparelhos,Accessories,54.384
CA-2017-154508,16/11/2017,RD-19900,Consumidor,Brasil,Anchieta,Espírito Santo,OFF-EN-10001990,Papelaria,Envelopes,28.4
CA-2017-113817,07/11/2017,MJ-17740,Consumidor,Brasil,Jóia,Rio Grande do Sul,OFF-BI-10004002,Papelaria,Binders,27.68
CA-2015-139892,08/09/2015,BM-11140,Consumidor,Brasil,Belém de Maria,Pernambuco,OFF-AR-10004441,Papelaria,Art,9.936
CA-2015-139892,08/09/2015,BM-11140,Consumidor,Brasil,Simões Filho,Bahia,TEC-MA-10000822,Aparelhos,Machines,8159.952
CA-2015-139892,08/09/2015,BM-11140,Consumidor,Brasil,Araponga,Minas Gerais,OFF-ST-10000991,Papelaria,Storage,275.928
CA-2015-139892,08/09/2015,BM-11140,Consumidor,Brasil,Toritama,Pernambuco,FUR-CH-10004287,Decoração,Chairs,1740.06
CA-2015-139892,08/09/2015,BM-11140,Consumidor,Brasil,Nilo Peçanha,Bahia,OFF-AR-10002656,Papelaria,Art,32.064
CA-2015-139892,08/09/2015,BM-11140,Consumidor,Brasil,Tabatinga,Amazonas,OFF-AP-10002518,Papelaria,Appliances,177.98
CA-2015-139892,08/09/2015,BM-11140,Consumidor,Brasil,Barra do Turvo,São Paulo,TEC-PH-10003931,Aparelhos,Phones,143.976
CA-2015-118962,05/08/2015,CS-12130,Consumidor,Brasil,Moraújo,Ceará,OFF-PA-10000659,Papelaria,Paper,20.94
CA-2015-118962,05/08/2015,CS-12130,Consumidor,Brasil,Paty do Alferes,Rio de Janeiro,OFF-PA-10001144,Papelaria,Paper,110.96
CA-2015-118962,05/08/2015,CS-12130,Consumidor,Brasil,Santa Cruz do Piauí,Piauí,FUR-CH-10003817,Decoração,Chairs,340.144
US-2015-100853,14/09/2015,JB-15400,Corporate,Brasil,São João do Cariri,Paraíba,OFF-AP-10000891,Papelaria,Appliances,52.448
US-2015-100853,14/09/2015,JB-15400,Corporate,Brasil,Sandovalina,São Paulo,OFF-LA-10003148,Papelaria,Labels,20.16
US-2018-152366,21/04/2018,SJ-20500,Consumidor,Brasil,Aramina,São Paulo,OFF-AP-10002684,Papelaria,Appliances,97.264
US-2016-101511,21/11/2016,JE-15745,Consumidor,Brasil,Capão Bonito do Sul,Rio Grande do Sul,FUR-CH-10004698,Decoração,Chairs,396.802
US-2016-101511,21/11/2016,JE-15745,Consumidor,Brasil,Pardinho,São Paulo,OFF-SU-10002189,Papelaria,Supplies,15.88
CA-2016-137225,15/12/2016,JK-15640,Home Office,Brasil,Conceição da Barra,Espírito Santo,OFF-AR-10001940,Papelaria,Art,3.28
CA-2015-166191,05/12/2015,DK-13150,Corporate,Brasil,São Luís de Montes Belos,Goiás,OFF-ST-10003455,Papelaria,Storage,24.816
CA-2015-166191,05/12/2015,DK-13150,Corporate,Brasil,São Miguel,Rio Grande do Norte,TEC-AC-10004659,Aparelhos,Accessories,408.744
CA-2015-158274,19/11/2015,RM-19675,Home Office,Brasil,Natividade,Rio de Janeiro,TEC-PH-10003273,Aparelhos,Phones,503.96
CA-2015-158274,19/11/2015,RM-19675,Home Office,Brasil,Mangaratiba,Rio de Janeiro,TEC-PH-10004896,Aparelhos,Phones,149.95
CA-2015-158274,19/11/2015,RM-19675,Home Office,Brasil,Nova Ramada,Rio Grande do Sul,TEC-AC-10002345,Aparelhos,Accessories,29.0
CA-2017-105018,28/11/2017,SK-19990,Consumidor,Brasil,Mercedes,Paraná,OFF-BI-10001890,Papelaria,Binders,7.16
CA-2015-123260,26/08/2015,FM-14290,Home Office,Brasil,Tunas do Paraná,Paraná,TEC-AC-10002323,Aparelhos,Accessories,176.8
CA-2017-157000,16/07/2017,AM-10360,Corporate,Brasil,Cristiano Otoni,Minas Gerais,OFF-ST-10001328,Papelaria,Storage,37.224
CA-2017-157000,16/07/2017,AM-10360,Corporate,Brasil,São Benedito do Sul,Pernambuco,OFF-PA-10001950,Papelaria,Paper,20.016
